timestamp,src_ip,dst_ip,src_port,dst_port,protocol
2013-10-24 20:41:12.764009,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:12.899844,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:12.944303,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:13.150160,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:13.401143,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:13.602279,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:13.765130,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.129270,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.276413,127.0.0.1,127.0.1.1,46639,53,UDP
2013-10-24 20:41:14.314040,127.0.1.1,127.0.0.1,53,46639,UDP
2013-10-24 20:41:14.314585,127.0.0.1,127.0.1.1,38573,53,UDP
2013-10-24 20:41:14.352750,127.0.1.1,127.0.0.1,53,38573,UDP
2013-10-24 20:41:14.370017,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.370167,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.579100,127.0.0.1,127.0.1.1,57408,53,UDP
2013-10-24 20:41:14.579123,127.0.0.1,127.0.1.1,57408,53,UDP
2013-10-24 20:41:14.620388,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.627151,127.0.1.1,127.0.0.1,53,57408,UDP
2013-10-24 20:41:14.644980,127.0.1.1,127.0.0.1,53,57408,UDP
2013-10-24 20:41:14.787959,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.870976,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:14.871344,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:15.071561,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:15.765415,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:16.258087,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:16.973618,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:18.444246,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:19.767123,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:27.771032,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:32.820082,192.168.2.1,192.168.2.255,17500,17500,UDP
2013-10-24 20:41:43.773879,192.168.2.1,224.0.0.251,5353,5353,UDP
2013-10-24 20:41:59.677234,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:41:59.677274,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:41:59.677299,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:41:59.677323,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:41:59.677345,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:41:59.677423,192.168.2.1,192.168.2.255,138,138,UDP
2013-10-24 20:42:01.679995,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680048,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680081,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680111,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680125,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680185,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680203,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680218,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680235,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:01.680249,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:02.862310,192.168.2.1,192.168.2.255,17500,17500,UDP
2013-10-24 20:42:03.682622,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:03.682653,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:03.682668,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:03.682680,192.168.2.1,192.168.2.255,137,137,UDP
2013-10-24 20:42:03.682691,192.168.2.1,192.168.2.255,137,137,UDP
